lemma,"poscode","surface"
Cap Skiring,"0","Cap Skiring"
Cape Dorset,"0","Cape Dorset"
Cape Girardeau,"0","Cape Girardeau"
Cape Lisburne,"0","Cape Lisburne"
Cape Newenham,"0","Cape Newenham"
Cape Romanzof,"0","Cape Romanzof"
Cape Town,"0","Cape Town"
Capurgana,"0","Capurgana"
Caracas,"0","Caracas"
Caransebes,"0","Caransebes"
Carauari,"0","Carauari"
Caravelas,"0","Caravelas"
Carbondale/Murphysboro,"0","Carbondale/Murphysboro"
Carcassonne,"0","Carcassonne"
Cardiff,"0","Cardiff"
Carepa,"0","Carepa"
Caribou,"0","Caribou"
Carlisle,"0","Carlisle"
Carlsbad,"0","Carlsbad"
Carnarvon,"0","Carnarvon"
Carolina,"0","Carolina"
Carrillo,"0","Carrillo"
Carrollton,"0","Carrollton"
Cartagena,"0","Cartagena"
Cartago,"0","Cartago"
Cartersville,"0","Cartersville"
Cartwright,"0","Cartwright"
Caruaru,"0","Caruaru"
Carupano,"0","Carupano"
Casa Grande,"0","Casa Grande"
Casablanca,"0","Casablanca"
Cascavel,"0","Cascavel"
Casper,"0","Casper"
Castellón de la Plana,"0","Castellón de la Plana"
Castlegar,"0","Castlegar"
Castres,"0","Castres"
Castries,"0","Castries"
Castro,"0","Castro"
Cat Island,"0","Cat Island"
Cat Lake,"0","Cat Lake"
Catalina Island,"0","Catalina Island"
Catamarca,"0","Catamarca"
Catania,"0","Catania"
Catarman,"0","Catarman"
Caticlan,"0","Caticlan"
Catumbela,"0","Catumbela"
Cauayan,"0","Cauayan"
Caucasia,"0","Caucasia"
Caxias Do Sul,"0","Caxias Do Sul"
Cayenne,"0","Cayenne"
Cayman Brac,"0","Cayman Brac"
Cayo Largo del Sur,"0","Cayo Largo del Sur"
Cayo Santa Maria,"0","Cayo Santa Maria"
Cebu,"0","Cebu"
Cedar City,"0","Cedar City"
Cedar Rapids,"0","Cedar Rapids"
Ceduna,"0","Ceduna"
Ceiba,"0","Ceiba"
Celaya,"0","Celaya"
Celle,"0","Celle"
Central,"0","Central"
Centralia,"0","Centralia"
Centre,"0","Centre"
Cessnock,"0","Cessnock"
Chañaral,"0","Chañaral"
Chachapoyas,"0","Chachapoyas"
Chadron,"0","Chadron"
Chaghcharan,"0","Chaghcharan"
Chah Bahar,"0","Chah Bahar"
Chaiten,"0","Chaiten"
Chalkyitsik,"0","Chalkyitsik"
Chalon,"0","Chalon"
Chalons,"0","Chalons"
Chambery,"0","Chambery"
Champaign,"0","Champaign"
Chandigarh,"0","Chandigarh"
Chandragarhi,"0","Chandragarhi"
Changcha,"0","Changcha"
Changchun,"0","Changchun"
Changde,"0","Changde"
Changhai,"0","Changhai"
Changuinola,"0","Changuinola"
Changzhi,"0","Changzhi"
Changzhou,"0","Changzhou"
Chania,"0","Chania"
Chanute,"0","Chanute"
Chaoyang,"0","Chaoyang"
Chapeco,"0","Chapeco"
Chapel Hill,"0","Chapel Hill"
Chapleau,"0","Chapleau"
Chardzhou,"0","Chardzhou"
Charelvoix,"0","Charelvoix"
Charleroi,"0","Charleroi"
Charles City,"0","Charles City"
Charleston,"0","Charleston"
Charlestown,"0","Charlestown"
Charlevoix,"0","Charlevoix"
